region;year;I_L_1;I_L_2;I_L_3;I_L_4;I_L_5;I_B_1;I_B_2;I_B_3;I_B_4;I_B_5
OAS;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;1965;1;1;1;1;1;1;1;1;1;1
REF;1970;1;1;1;1;1;1;1;1;1;1
REF;1975;1;1;1;1;1;1;1;1;1;1
REF;1980;1;1;1;1;1;1;1;1;1;1
REF;1985;1;1;1;1;1;1;1;1;1;1
REF;1990;1;1;1;1;1;1;1;1;1;1
REF;1995;1;1;1;1;1;1;1;1;1;1
REF;2000;1;1;1;1;1;1;1;1;1;1
REF;2005;1;1;1;1;1;1;1;1;1;1
REF;2010;1;1;1;1;1;1;1;1;1;1
REF;2015;1;1;1;1;1;1;1;1;1;1
REF;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
REF;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
REF;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
REF;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;1965;1;1;1;1;1;1;1;1;1;1
SSA;1970;1;1;1;1;1;1;1;1;1;1
SSA;1975;1;1;1;1;1;1;1;1;1;1
SSA;1980;1;1;1;1;1;1;1;1;1;1
SSA;1985;1;1;1;1;1;1;1;1;1;1
SSA;1990;1;1;1;1;1;1;1;1;1;1
SSA;1995;1;1;1;1;1;1;1;1;1;1
SSA;2000;1;1;1;1;1;1;1;1;1;1
SSA;2005;1;1;1;1;1;1;1;1;1;1
SSA;2010;1;1;1;1;1;1;1;1;1;1
SSA;2015;1;1;1;1;1;1;1;1;1;1
SSA;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
SSA;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
SSA;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
SSA;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;1965;1;1;1;1;1;1;1;1;1;1
USA;1970;1;1;1;1;1;1;1;1;1;1
USA;1975;1;1;1;1;1;1;1;1;1;1
USA;1980;1;1;1;1;1;1;1;1;1;1
USA;1985;1;1;1;1;1;1;1;1;1;1
USA;1990;1;1;1;1;1;1;1;1;1;1
USA;1995;1;1;1;1;1;1;1;1;1;1
USA;2000;1;1;1;1;1;1;1;1;1;1
USA;2005;1;1;1;1;1;1;1;1;1;1
USA;2010;1;1;1;1;1;1;1;1;1;1
USA;2015;1;1;1;1;1;1;1;1;1;1
USA;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
USA;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
USA;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
USA;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
